CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost,SumOfOther Cost,FirstOfDD Totals,FirstOfDD Unique Consumers
Macomb,Private Duty Nursing,,T1000,TE,Up to 15 min,3,25115,201321,201321,127741261,4179
Macomb,Assessment,,T1001,,Encounter,463,499,199211,313803,127741261,4179
Macomb,Health Services,,T1002,,Up to 15 min,294,1375,132162,257675,127741261,4179
Macomb,Respite Care,,T1005,,15 Minutes,1324,2197567,7528704,8242580,127741261,4179
Macomb,Respite Care,,T1005,TD,15 Minutes,1,4467,45838,45838,127741261,4179
Macomb,Respite Care,,T1005,TE,15 Minutes,41,217433,1722561,1722561,127741261,4179
Macomb,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,129,213203,515844,528312,127741261,4179
Macomb,Substance Use Disorder: Treatment Planning,,T1007,HF,Encounter,0,0,0,0,127741261,4179
Macomb,Substance Use Disorder: Child Sitting Services,,T1009,,Encounter,0,0,0,0,127741261,4179
Macomb,Substance Use Disorder: Recovery Support Services,,T1012,,Encounter,0,0,0,0,127741261,4179
Macomb,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0,579,127741261,4179
Macomb,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,3134,147204,9799338,10115884,127741261,4179
Macomb,Targeted Case Management ,,T1017,,15 minutes,860,22070,1697172,7705672,127741261,4179
Macomb,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,58,1628,139924,434263,127741261,4179
Macomb,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,553,181485,11577616,16088413,127741261,4179
Macomb,Assessments,,T1023,,Encounter,9,14,1968,24216,127741261,4179
Macomb,Prevention Services - Direct Model ,,T1027,,15 Minutes,0,0,0,0,127741261,4179
Macomb,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,24,154,18336,18336,127741261,4179
Macomb,Transportation,,T2001,,Encounter,0,0,0,0,127741261,4179
Macomb,Substance Use Disorder: Transportation,,T2001,HF,Encounter,0,0,0,0,127741261,4179
Macomb,Transportation,,T2002,,Per Diem,0,0,0,0,127741261,4179
Macomb,Substance Use Disorder: Transportation,,T2002,HF,Per Diem,0,0,0,0,127741261,4179
Macomb,Transportation,,T2003,,Encounter / Trip,0,0,0,0,127741261,4179
Macomb,Substance Use Disorder: Transportation,,T2003,HF,Encounter / Trip,0,0,0,0,127741261,4179
Macomb,Transportation,,T2004,,Encounter,0,0,0,0,127741261,4179
Macomb,Substance Use Disorder: Transportation,,T2004,HF,Encounter,0,0,0,0,127741261,4179
Macomb,Transportation,,T2005,,Encounter,0,0,0,0,127741261,4179
Macomb,Substance Use Disorder: Transportation,,T2005,HF,Encounter,0,0,0,0,127741261,4179
Macomb,Out of Home Prevocational Service,,T2015,,Hour,117,94117,1281435,1281435,127741261,4179
Macomb,Targeted Case Management (Children's Waiver),,T2023,,Month,111,1137,622418,622418,127741261,4179
Macomb,Prevention Services - Direct Model ,,T2024,,,0,0,0,0,127741261,4179
Macomb,Fiscal Intermediary Services,,T2025,,Month,885,9077,1093482,1115156,127741261,4179
Macomb,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0,0,127741261,4179
Macomb,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0,0,127741261,4179
Macomb,Respite Care,,T2036,,Per session. One night = one session,60,404,30406,42528,127741261,4179
Macomb,Respite Care,,T2037,,Per session. One day/partial day = one session,45,735,18521,24089,127741261,4179
Macomb,Housing Assistance,,T2038,,Service,41,72,16386,35215,127741261,4179
Macomb,Enhanced Medical Equipment-Supplies,,T2039,,Item,1,1,13063,13063,127741261,4179
Macomb,Goods and Services ,,T5999,HK,Per Item,1,3,5987,5987,127741261,4179
Macomb,Wraparound Services,,T5999,,Per Item,0,0,0,0,127741261,4179
Macomb,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0,0,127741261,4179
Macomb,Other,,,,,0,0,0,0,127741261,4179
Macomb,Aggregate for 'J' Codes,,ALL,,,0,0,0,88,127741261,4179
Manistee-Benzie (Centra Wellness),"Local Psychiatric Hospital/IMD PT68 
bundled per diem",100,,PT68,Day,0,0,0,66690,6507518,198
Manistee-Benzie (Centra Wellness),"Local Psychiatric Hospital/IMD PT68
bundled per diem",100,,PT68,Day,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",100,,PT73,Day,1,1,996,197823,6507518,198
Manistee-Benzie (Centra Wellness),"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",100,,PT73,Day,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,0,14050,6507518,198
Manistee-Benzie (Centra Wellness),Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,0,79406.7,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),ECT Anesthesia,370,,,,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),ECT Recovery Room,710,,,,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Crisis Observation Care,762,,,Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Outpatient Partial Hospitalization,912,,,Day,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Outpatient Partial Hospitalization,913,,,Day,0,0,0,2370,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),ABA Behavior Identification Assessment,,0359T,U5,Encounter,9,13,7799,7799,6507518,198
Manistee-Benzie (Centra Wellness),ABA Behavioral Follow-up Assessment,,0362T,U5,First 30 Minutes,7,13,2223,2223,6507518,198
Manistee-Benzie (Centra Wellness),ABA Behavioral Follow-up Assessment,,0363T,U5,Each Additional 30 Minutes,7,38,6424,6424,6507518,198
Manistee-Benzie (Centra Wellness),ABA Adaptive Treatment,,0364T,U5,First 30 Minutes,10,677,38016,38016,6507518,198
Manistee-Benzie (Centra Wellness),ABA Adaptive Treatment,,0365T,U5,Each Additional 30 Minutes,10,3017,157245,157245,6507518,198
Manistee-Benzie (Centra Wellness),ABA Group Adaptive Behavior Treatment,,0366T,U5,First 30 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),ABA Group Adaptive Behavior Treatment,,0367T,U5,Each Additional 30 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0368T,U5,First 30 Minutes,8,154,11550,11550,6507518,198
Manistee-Benzie (Centra Wellness),ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0369T,U5,Each Additional 30 Minutes,8,277,18834,18834,6507518,198
Manistee-Benzie (Centra Wellness),ABA Family Behavior Treatment Guidance,,0370T,U5,Encounter,1,6,888,888,6507518,198
Manistee-Benzie (Centra Wellness),ABA Family Behavior Treatment Guidance,,0371T,U5,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),ABA Adaptive Behavior Treatment Social Skills Group,,0372T,U5,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),ABA Exposure Adaptive Behavior Treatment,,0373T,U5,First 60 Minutes,1,117,18251,18251,6507518,198
Manistee-Benzie (Centra Wellness),ABA Exposure Adaptive Behavior Treatment,,0374T,U5,Each Additional 30 Minutes,1,50,2992,2992,6507518,198
Manistee-Benzie (Centra Wellness),Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80300,,per date of service,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80301,,per date of service,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80302,,each procedure,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80303,,per date of service ,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80304,,each procedure,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Drug Screen,,80305,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Drug Screen,,80306,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Drug Screen,,80307,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Interactive Complexity - Add On Code,,90785,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment for Autism,,90785,U5,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Abuse - Interactive Complexity - Add On Code,,90785,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment,,"90791
",,Encounter,14,14,14802,141674,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use: Assessment,,90791,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment for Autism,,90791,U5,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment,,90792,,Encounter,0,0,0,1282,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use: Assessment,,90792,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment for Autism,,90792,U5,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Mental Health: Outpatient Care,,90832,,30 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,14,52,6105,32755,6507518,198
Manistee-Benzie (Centra Wellness),Assessment,,90833,,30 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Mental Health: Outpatient Care,,90834,,45 Minutes,21,75,13242,133657,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment,,90836,,45 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Mental Health: Outpatient Care,,90837,,60 Minutes,23,148,31487,673789,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment,,90838,,60 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0,1215,6507518,198
Manistee-Benzie (Centra Wellness),Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,615,6507518,198
Manistee-Benzie (Centra Wellness),Therapy-Family Therapy,,90846,,Encounter,3,6,2367,15385,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Therapy-Family Therapy,,90847,,Encounter,1,4,981,25740,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Therapy-Group Therapy,,90853,,Encounter,1,1,330,18815,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessments-Other,,90887,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92507,,Encounter,2,147,14615,14615,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92508,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92521,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92522,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92523,,Encounter,1,1,225,225,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92524,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92607,,First Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92609,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,2,8,1134,5245,6507518,198
Manistee-Benzie (Centra Wellness),Assessment for Autism,,96101,U5,Hour,5,6,2032,2371,6507518,198
Manistee-Benzie (Centra Wellness),Psychological Testing by Technician ,,96102,,Per Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment for Autism,,96102,U5,Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Psychological Testing by Comp ,,96103,,Per Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessments-Other,,96105,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessments-Other,,96110,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessments-Other,,96111,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment for Autism,,96118,U5,Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment for Autism,,96119,U5,Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessments-Other,,96127,,,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Medication Administration,,96372,,Encounter,2,4,801,44438,6507518,198
Manistee-Benzie (Centra Wellness),Physical Therapy - Note: retired 1/1/17,,97001,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Physical Therapy - Note: retired 1/1/17,,97002,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational Therapy - Note: retired 1/1/17,,97003,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational Therapy - Note: retired 1/1/17,,97004,,Encounter,1,1,1138,1138,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97110,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Physical Therapy,,97161,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Physical Therapy,,97162,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Physical Therapy,,97163,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Physical Therapy,,97164,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational Therapy,,97165,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational Therapy,,97166,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational Therapy,,97167,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational Therapy,,97168,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97530,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational Therapy,,97755,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Prosthetic Training (Children's Waiver),,97761,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Assessment or Health Services,,97802,,15 Minutes,2,3,608,2634,6507518,198
Manistee-Benzie (Centra Wellness),Assessment or Health Services,,97803,,15 Minutes,0,0,0,8295,6507518,198
Manistee-Benzie (Centra Wellness),Health Services,,97804,,30 Minutes,1,1,257,771,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Acupuncture,,97810,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Acupuncture,,97811,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,356,6507518,198
Manistee-Benzie (Centra Wellness),New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Established Patient Evaluation and Management,,99211,,Encounter,3,4,1509,29424,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Established Patient Evaluation and Management,,99212,,Encounter,0,0,0,1334,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Established Patient Evaluation and Management,,99213,,Encounter,33,124,27951,122625,6507518,198
Manistee-Benzie (Centra Wellness),Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Established Patient Evaluation and Management,,99214,,Encounter,54,152,55579,468401,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Established Patient Evaluation and Management,,99215,,Encounter,3,3,2061,26102,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-Physician Services,,99223,,70 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-Physician Services,,99231,,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-Physician Services,,99232,,25 minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Additional Codes-Physician Services,,99233,,35 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Physician Consultations,,99241,HF,15 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Physician Consultations,,99242,HF,30 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Physician Consultations,,99243,HF,40 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Physician Consultations,,99244,HF,60 Minutes,0,0,0,0,6507518,198
Manistee-Benzie (Centra Wellness),Substance Use Disorder: Physician Consultations,,99245,HF,80 Minutes,0,0,0,0,6507518,198
