CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost
Livingston,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0.00
Livingston,Assessment or Health Services,,97802,,15 Minutes,18,84,2206.03
Livingston,Assessment or Health Services,,97803,,15 Minutes,4,13,337.04
Livingston,Health Services,,97804,,30 Minutes,0,0,0.00
Livingston,Substance Abuse: Acupuncture,,97810,,Encounter,0,0,0.00
Livingston,Substance Abuse: Acupuncture,,97811,,Encounter,0,0,0.00
Livingston,New Patient Evaluation and Management,,99201,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99201,U5,Encounter,0,0,0.00
Livingston,Substance Abuse: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0.00
Livingston,New Patient Evaluation and Management,,99202,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99202,U5,Encounter,0,0,0.00
Livingston,Substance Abuse: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0.00
Livingston,New Patient Evaluation and Management,,99203,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99203,U5,Encounter,0,0,0.00
Livingston,Substance Abuse: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0.00
Livingston,New Patient Evaluation and Management,,99204,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99204,U5,Encounter,0,0,0.00
Livingston,Substance Abuse: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0.00
Livingston,New Patient Evaluation and Management,,99205,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99205,U5,Encounter,0,0,0.00
Livingston,Substance Abuse: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0.00
Livingston,Established Patient Evaluation and Management,,99211,,Encounter,1,1,424.49
Livingston,Assessment for Autism,,99211,U5,Encounter,0,0,0.00
Livingston,Substance Abuse: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0.00
Livingston,Established Patient Evaluation and Management,,99212,,Encounter,36,54,6009.74
Livingston,Assessment for Autism,,99212,U5,Encounter,0,0,0.00
Livingston,Substance Abuse: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0.00
Livingston,Established Patient Evaluation and Management,,99213,,Encounter,119,425,71877.54
Livingston,Assessment for Autism,,99213,U5,Encounter,0,0,0.00
Livingston,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0.00
Livingston,Established Patient Evaluation and Management,,99214,,Encounter,50,75,18017.92
Livingston,Assessment for Autism,,99214,U5,Encounter,0,0,0.00
Livingston,Substance Abuse: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0.00
Livingston,Established Patient Evaluation and Management,,99215,,Encounter,33,156,35136.33
Livingston,Assessment for Autism,,99215,U5,Encounter,0,0,0.00
Livingston,Substance Abuse: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0.00
Livingston,Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0.00
Livingston,Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0.00
Livingston,Additional Codes-Physician Services,,99223,,70 Minutes,0,0,0.00
Livingston,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0.00
Livingston,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0.00
Livingston,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0.00
Livingston,Additional Codes-Physician Services,,99231,,15 Minutes,0,0,0.00
Livingston,Additional Codes-Physician Services,,99232,,25 minutes,0,0,0.00
Livingston,Additional Codes-Physician Services,,99233,,35 Minutes,0,0,0.00
Livingston,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0.00
Livingston,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0.00
Livingston,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0.00
Livingston,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0.00
Livingston,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0.00
Livingston,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0.00
Livingston,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0.00
Livingston,Assessment,,99324,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99324,U5,Encounter,0,0,0.00
Livingston,Assessment,,99325,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99325,U5,Encounter,0,0,0.00
Livingston,Assessment,,99326,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99326,U5,Encounter,0,0,0.00
Livingston,Assessment,,99327,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99327,U5,Encounter,0,0,0.00
Livingston,Assessment,,99328,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99328,U5,Encounter,0,0,0.00
Livingston,Assessment,,99334,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99334,U5,Encounter,0,0,0.00
Livingston,Assessment,,99335,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99335,U5,Encounter,0,0,0.00
Livingston,Assessment,,99336,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99336,U5,Encounter,0,0,0.00
Livingston,Assessment,,99337,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99337,U5,Encounter,0,0,0.00
Livingston,Assessment,,99341,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99341,U5,Encounter,0,0,0.00
Livingston,Assessment,,99342,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99342,U5,Encounter,0,0,0.00
Livingston,Assessment,,99343,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99343,U5,Encounter,0,0,0.00
Livingston,Assessment,,99344,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99344,U5,Encounter,0,0,0.00
Livingston,Assessment,,99345,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99345,U5,Encounter,0,0,0.00
Livingston,Assessment,,99347,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99347,U5,Encounter,0,0,0.00
Livingston,Assessment,,99348,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99348,U5,Encounter,0,0,0.00
Livingston,Assessment,,99349,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99349,U5,Encounter,0,0,0.00
Livingston,Assessment,,99350,,Encounter,0,0,0.00
Livingston,Assessment for Autism,,99350,U5,Encounter,0,0,0.00
Livingston,Medication Administration,,99506,,Encounter,0,0,0.00
Livingston,Medication Management,,99605,,15 Minutes,0,0,0.00
Livingston,Transportation,,A0080,,Per mile,0,0,0.00
Livingston,Transportation,,A0090,,Per mile,0,0,0.00
Livingston,Transportation,,A0100,,Per one-way trip,0,0,0.00
Livingston,Substance Abuse: Transportation,,A0100,,Per one-way trip,0,0,0.00
Livingston,Transportation,,A0110,,Per one-way trip,0,0,0.00
Livingston,Substance Abuse: Transportation,,A0110,HF,Per one-way trip,0,0,0.00
Livingston,Transportation,,A0120,,Per one-way trip,0,0,0.00
Livingston,Transportation,,A0130,,Per one-way trip,0,0,0.00
Livingston,Transportation,,A0140,,Per one-way trip,0,0,0.00
Livingston,Transportation,,A0170,,,0,0,0.00
Livingston,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0.00
Livingston,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0.00
Livingston,Enhanced Medical Equipment-Supplies,,E1399,,Item,4,4,6551.83
Livingston,Activity Therapy (Children's Waiver),,G0176,,Encounter,0,0,0.00
Livingston,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0.00
Livingston,Substance Abuse: Recovery Support Services,,G0409,,15 Minutes,0,0,0.00
Livingston,Substance Abuse: Individual Assessment,,H0001,,Encounter,0,0,0.00
Livingston,Assessment,,H0002,,Encounter,10,14,5958.29
Livingston,Substance Abuse: Laboratory,,H0003,,Encounter,0,0,0.00
Livingston,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0.00
Livingston,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0.00
Livingston,Substance Abuse: Case Management,,H0006,,Encounter,0,0,0.00
Livingston,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0.00
Livingston,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0.00
Livingston,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0.00
Livingston,Substance Abuse: Outpatient Care,906,H0015,,Day,0,0,0.00
Livingston,Crisis Residential Services,,H0018,,Day,0,0,0.00
Livingston,Substance Abuse: Residential,1002,H0018,HF,Day,0,0,0.00
Livingston,Substance Abuse: Residential,1002,H0019,HF,Day,0,0,0.00
Livingston,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0.00
Livingston,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0.00
Livingston,Peer Directed and Operated Support Services,,H0023,,Encounter,1,42,2992.54
Livingston,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0.00
Livingston,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0.00
Livingston,Crisis Intervention,,H0030,,Per Service,0,0,0.00
Livingston,Assessment,,H0031,,Encounter,185,213,130802.22
Livingston,Assessment for Autism,,H0031,U5,Encounter,0,0,0.00
Livingston,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,0,0,0.00
Livingston,Treatment Planning,,H0032,,Encounter,148,370,42190.55
Livingston,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,172,774,55812.04
Livingston,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0.00
Livingston,Health Services,,H0034,,15 Minutes,0,0,0.00
Livingston,Home Based Services,,H0036,,15 Minutes,6,740,41621.74
Livingston,Home Based Services,,H0036,ST,15 Minutes,0,0,0.00
Livingston,Peer Directed and Operated Support Services,,H0038,,15 minutes,3,131,5169.95
Livingston,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0.00
Livingston,Substance Abuse: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0.00
Livingston,Peer Directed and Operated Support Services,,NA,,,0,0,0.00
Livingston,Assertive Community Treatment (ACT),,H0039,,15 Minutes,2,242,20478.09
Livingston,Community Living Supports in Independent living/own home,,H0043,,Per diem,0,0,0.00
Livingston,Respite,,H0045,,Day,19,251,19726.72
Livingston,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0.00
Livingston,Substance Abuse: Laboratory,,H0048,,Encounter,0,0,0.00
Livingston,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0.00
Livingston,Behavior Treatment Plan Review,,H2000,,Encounter,27,80,20282.80
Livingston,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,0,0,0.00
Livingston,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0.00
Livingston,Crisis Intervention,,H2011,,15 Minutes,5,22,2469.84
Livingston,"Substance Abuse: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0.00
Livingston,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,174,296622,935113.34
Livingston,Community Living Supports (15 Minutes),,H2015,,15 Minutes,205,2475826,6726871.52
Livingston,Community Living Supports (Daily),,H2016,,Per Diem,6,1670,46850.69
Livingston,Community Living Supports (Daily),,H2016,TF,Per Diem,27,6845,349189.95
Livingston,Community Living Supports (Daily),,H2016,TG,Per Diem,27,6069,1323966.33
Livingston,Behavior Services,,H2019,,15 Minutes,16,36469,559294.43
Livingston,Behavior Services,,H2019,TT,15 Minutes,5,50,0.00
Livingston,Applied Behavioral Intervention (ABI).,,H2019,U5,15 Minutes,0,0,0.00
Livingston,Early Intensive Behavioral Intervention (EIBI),,H2019,"U5, TG",15 Minutes,0,0,0.00
Livingston,Crisis Intervention,,H2020,,Day,0,0,0.00
Livingston,Wraparound,,H2021,,15 Minutes,5,589,69114.43
Livingston,Supported Employment Services,,H2023,,15 minutes,46,27766,96159.69
Livingston,Mental Health Therapy,,H2027,,15 Minutes,0,0,0.00
Livingston,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0.00
Livingston,Clubhouse Psychosocial Rehabilitation Programs,,H2030,,15 Minutes,8,7971,42156.16
Livingston,Home Based Services,,H2033,,15 Minutes,0,0,0.00
Livingston,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0.00
Livingston,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0.00
Livingston,Repair/Svc DME Non-Oxygen Equipment (Children's Waiver),,K0739,,15 Minutes,0,0,0.00
Livingston,Medication Review,,M0064,,"Encounter Face-to-Face, generally less than 10 minutes",3,3,146.12
Livingston,Transportation,,S0209,,Per Mile,0,0,0.00
Livingston,Transportation,,S0215,,Per Mile,0,0,0.00
Livingston,Substance Abuse Services: Transportation,,S0215,HF,Per Mile,0,0,0.00
Livingston,Home Care Training to Home Care Client ABA,,S5108,U5,15 Minutes,16,2247,75934.82
Livingston,Family Training - EBP,,S5110,,15 Minutes,0,0,0.00
Livingston,Family Training,,S5111,,Encounter,37,145,14984.29
Livingston,Family Training,,S5111,HA,Encounter,0,0,0.00
Livingston,Family Training,,S5111,HM,Encounter,0,0,0.00
Livingston,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,11,20,1334.99
Livingston,Foster Care,,S5140,,Day,0,0,0.00
Livingston,Foster Care,,S5145,,Day,0,0,0.00
Livingston,Respite,,S5150,,15 Minutes,0,0,0.00
Livingston,Respite,,S5151,,Per Diem,0,0,0.00
Livingston,Personal Emergency Response System (PERS),,S5160,,Encounter,2,2,2396.78
Livingston,Personal Emergency Response System (PERS),,S5161,,Month,39,390,603785.77
Livingston,Environmental Modification,,S5165,,Service,0,0,0.00
Livingston,Enhanced Medical Equipment-Supplies,,S5199,,Item,4,6,649.73
Livingston,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0.00
Livingston,Private Duty Nursing,582,S9123,,Hour,0,0,0.00
Livingston,Private Duty Nursing,,S9123,,Hour,0,0,0.00
Livingston,Private Duty Nursing,,S9123,TT,Hour,0,0,0.00
Livingston,Private Duty Nursing,582,S9124,,Hour,0,0,0.00
Livingston,Private Duty Nursing,,S9124,,Hour,0,0,0.00
Livingston,Private Duty Nursing,,S9124,TT,Hour,0,0,0.00
Livingston,Health Services,,S9445,,Encounter,0,0,0.00
Livingston,Health Services,,S9446,,Encounter,0,0,0.00
Livingston,Health Services,,S9470,,Encounter,0,0,0.00
Livingston,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0.00
Livingston,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0.00
Livingston,Residential Room and Board,,S9976,,Day,0,0,0.00
Livingston,Substance Abuse Services: Residential Room and Board,,S9976,HF,Day,0,0,0.00
Livingston,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0.00
Livingston,Private Duty Nursing,,T1000,TD,Up to 15 min,1,8536,76128.21
Livingston,Private Duty Nursing,,T1000,TE,Up to 15 min,1,280,2497.60
Livingston,Assessment,,T1001,,Encounter,1,1,467.57
Livingston,Health Services,,T1002,,Up to 15 min,33,111,21764.36
Livingston,Respite Care,,T1005,,15 Minutes,185,128731,588775.19
Livingston,Respite Care,,T1005,TD,15 Minutes,0,0,0.00
Livingston,Respite Care,,T1005,TE,15 Minutes,0,0,0.00
Livingston,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0.00
Livingston,Substance Abuse: Treatment Planning,,T1007,HF,Encounter,0,0,0.00
Livingston,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0,0,0.00
Livingston,Substance Abuse: Recovery Support Services,,T1012,,Encounter,0,0,0.00
Livingston,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0.00
Livingston,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,541,9320,1244824.73
Livingston,Targeted Case Management,,T1017,,15 minutes,18,896,56745.59
Livingston,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,5,81,4355.71
Livingston,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,12,3410,95665.14
Livingston,Personal Care in Licensed Specialized Residential Setting,,T1020,TF,Day,12,2996,152837.56
Livingston,Personal Care in Licensed Specialized Residential Setting,,T1020,TG,Day,35,8178,715926.69
Livingston,Assessments,,T1023,,Encounter,5,5,1992.74
Livingston,Prevention Services - Direct Model,,T1027,,15 Minutes,0,0,0.00
Livingston,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,76,369,25841.25
Livingston,Transportation,,T2001,,Encounter,0,0,0.00
Livingston,Substance Abuse Services: Transportation,,T2001,HF,Encounter,0,0,0.00
Livingston,Transportation,,T2002,,Per Diem,0,0,0.00
Livingston,Substance Abuse Services: Transportation,,T2002,HF,Per Diem,0,0,0.00
Livingston,Transportation,,T2003,,Encounter / Trip,0,0,0.00
Livingston,Substance Abuse Services: Transportation,,T2003,HF,Encounter / Trip,0,0,0.00
Livingston,Transportation,,T2004,,Encounter,0,0,0.00
Livingston,Substance Abuse Services: Transportation,,T2004,HF,Encounter,0,0,0.00
Livingston,Transportation,,T2005,,Encounter,0,0,0.00
Livingston,Substance Abuse Services: Transportation,,T2005,HF,Encounter,0,0,0.00
Livingston,Out of Home Prevocational Service,,T2015,,Hour,4,2232,51319.72
Livingston,Targeted Case Management (Children's Waiver),,T2023,,Month,8,48,21357.24
Livingston,Prevention Services - Direct Model,,T2024,,,0,0,0.00
Livingston,Fiscal Intermediary Services,,T2025,,Month,75,636,71156.94
Livingston,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0.00
Livingston,Enhanced Medical Equipment-Supplies,,T2029,,Item,2,2,1098.79
Livingston,Crisis Intervention,,T2034,,Day,0,0,0.00
Livingston,Respite Care,,T2036,,Per session. One night = one session,0,0,0.00
Livingston,Respite Care,,T2037,,Per session. One day/partial day = one session,0,0,0.00
Livingston,Housing Assistance,,T2038,,Service,14,784,25706.74
Livingston,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0.00
Livingston,Goods and Services,,T5999,HK,Per Item,0,0,0.00
Livingston,Wraparound Services,,T5999,,Per Item,0,0,0.00
Livingston,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0.00
Livingston,Other,,,,,0,0,0.00
Livingston,Aggregate for 'J' Codes,,ALL,,,4,0,28600.00
Macomb,State Psychiatric Hospital - Inpatient PT22,"0100, 0101, 0114, 0124, 0134, 0154",,PT22,Day,0,0,0.00
Macomb,State Mental Retardation Facility - Inpatient (ICF/MR) PT65,100,,PT65,Day,0,0,0.00
Macomb,Local Psychiatric Hospital/IMD PT68,"0100, 0101, 0114, 0124, 0134, 0154",,PT68,Day,67,945,536827.00
Macomb,Local Psychiatric Hospital - Acute Community PT73,"0100, 0101, 0114, 0124, 0134, 0154",,PT73,Day,64,733,419734.00
Macomb,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258",,,,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0.00
Macomb,ECT Anesthesia,370,,,,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,48,62,11682.00
Macomb,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0.00
Macomb,ECT Recovery Room,710,,,,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0.00
Macomb,Crisis Observation Care,762,,,Hour,0,0,0.00
Macomb,Additional Codes-ECT Facility Charge,901,,,Encounter,1,36,32767.00
Macomb,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0.00
Macomb,Outpatient Partial Hospitalization,912,,,Day,18,105,28151.00
Macomb,Outpatient Partial Hospitalization,913,,,Day,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0.00
Macomb,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0.00
Macomb,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0.00
Macomb,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0.00
Macomb,Drug Screen for Methadone Clients Only,,80100,,Per Screen,0,0,0.00
Macomb,Drug Screen for Methadone Clients Only,,80101,,Per Screen,0,0,0.00
Macomb,Drug Screen for Methadone Clients Only,,80300,,per date of service,0,0,0.00
Macomb,Drug Screen for Methadone Clients Only,,80301,,per date of service,0,0,0.00
Macomb,Drug Screen for Methadone Clients Only,,80302,,each procedure,0,0,0.00
Macomb,Drug Screen for Methadone Clients Only,,80303,,per date of service,0,0,0.00
Macomb,Drug Screen for Methadone Clients Only,,80304,,each procedure,0,0,0.00
Macomb,Interactive Complexity - Add On Code,,90785,,,8,8,27.00
Macomb,Assessment for Autism,,90785,U5,,0,0,0.00
Macomb,Interactive Complexity - Add On Code - SUD,,90785,HF,,0,0,0.00
Macomb,Assessment,,90791,,Encounter,109,120,29714.00
Macomb,Assessment for Autism,,90791,U5,Encounter,0,0,0.00
Macomb,Assessment,,90792,,Encounter,393,427,103647.00
Macomb,Assessment for Autism,,90792,U5,Encounter,4,5,1451.00
Macomb,Mental Health: Outpatient Care,,90832,,30 Minutes,55,103,10981.00
Macomb,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0.00
Macomb,Assessment,,90833,,30 Minutes,6,9,1154.00
Macomb,Assessment for Autism,,90833,U5,30 Minutes,0,0,0.00
Macomb,Mental Health: Outpatient Care,,90834,,45 Minutes,144,678,73703.00
Macomb,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0.00
Macomb,Assessment,,90836,,45 Minutes,2,9,1849.00
Macomb,Assessment for Autism,,90836,U5,45 Minutes,0,0,0.00
Macomb,Mental Health: Outpatient Care,,90837,,60 Minutes,99,577,95940.00
Macomb,Substance abuse: Outpatient Care,,90837,HF,60 Minutes,0,0,0.00
Macomb,Assessment,,90838,,60 Minutes,5,5,1309.00
Macomb,Assessment for Autism,,90838,U5,60 Minutes,0,0,0.00
Macomb,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,3,3,785.00
Macomb,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0.00
Macomb,Therapy-Family Therapy,,90846,,Encounter,4,6,1494.00
Macomb,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0.00
Macomb,Therapy-Family Therapy,,90847,,Encounter,65,277,29930.00
Macomb,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0.00
Macomb,Therapy-Family Therapy,,90849,,Encounter,0,0,0.00
Macomb,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0.00
Macomb,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0.00
Macomb,Therapy-Group Therapy,,90853,,Encounter,25,143,4727.00
Macomb,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0.00
Macomb,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0.00
Macomb,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0.00
Macomb,Assessments-Other,,90887,,Encounter,0,0,0.00
Macomb,Speech & Language Therapy,,92507,,Encounter,183,6576,576492.00
Macomb,Speech & Language Therapy,,92508,,Encounter,0,0,0.00
Macomb,Speech & Language Therapy,,92521,,Encounter,12,13,2202.00
Macomb,Speech & Language Therapy,,92522,,Encounter,20,20,3003.00
Macomb,Speech & Language Therapy,,92523,,Encounter,136,145,23038.00
Macomb,Speech & Language Therapy,,92524,,Encounter,0,0,0.00
Macomb,Speech & Language Therapy,,92526,,Encounter,1,15,1350.00
Macomb,Speech & Language Therapy,,92610,,Encounter,37,39,40119.00
Macomb,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0.00
Macomb,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0.00
Macomb,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0.00
Macomb,Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0.00
Macomb,Psychological Testing PSYCH/PHYS,,96101,,Per Hour,96,99,21252.00
Macomb,Assessment for Autism,,96101,U5,Hour,79,91,11843.00
Macomb,Psychological Testing by Technician,,96102,,Per Hour,0,0,0.00
Macomb,Assessment for Autism,,96102,U5,Hour,0,0,0.00
Macomb,Psychological Testing by Comp,,96103,,Per Hour,0,0,0.00
Macomb,Assessments-Other,,96105,,Encounter,0,0,0.00
Macomb,Assessments-Other,,96110,,Encounter,0,0,0.00
Macomb,Assessments-Other,,96111,,Encounter,0,0,0.00
Macomb,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0.00
Macomb,Neuropsych test by Psych/Phys,,96118,,Per Hour,3,3,680.00
Macomb,Assessment for Autism,,96118,U5,Hour,0,0,0.00
Macomb,Neuropsych test by Tech,,96119,,Per Hour,0,0,0.00
Macomb,Assessment for Autism,,96119,U5,Hour,0,0,0.00
Macomb,Neuropsych test Admin w/Comp,,96120,,Per Hour,0,0,0.00
Macomb,Assessments-Other,,96127,,,0,0,0.00
Macomb,Medication Administration,,96372,,Encounter,34,249,25705.00
Macomb,Physical Therapy,,97001,,Encounter,56,58,7216.00
Macomb,Physical Therapy,,97002,,Encounter,2,2,42.00
Macomb,Occupational Therapy,,97003,,Encounter,229,244,72477.00
Macomb,Occupational Therapy,,97004,,Encounter,9,11,265.00
Macomb,Occupational or Physical Therapy,,97110,,15 Minutes,70,10905,315941.00
Macomb,Occupational or Physical Therapy,,97112,,15 Minutes,5,76,2418.00
Macomb,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0.00
Macomb,Occupational or Physical Therapy,,97116,,15 Minutes,1,7,190.00
