CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost,SumOfOther Cost,FirstOfMIA Unique Consumers
Northeast Michigan,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Outpatient Care,906,H0015,,Day,0,0,0,0,1311
Northeast Michigan,Crisis Residential Services,,H0018,,Day,13,85,29234.08,29234.08,1311
Northeast Michigan,Substance Abuse: Residential,1002,H0018,HF,Day,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Residential,1002,H0019,HF,Day,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0,0,1311
Northeast Michigan,Peer Directed and Operated Support Services,,H0023,,Encounter,61,2101,112237.36,113120.9,1311
Northeast Michigan,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0,1311
Northeast Michigan,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,0,1311
Northeast Michigan,Assessment ,,H0031,,Encounter,575,691,229889.16,308166.29,1311
Northeast Michigan,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,1,1,31.65,2116.5,1311
Northeast Michigan,Treatment Planning,,H0032,,Encounter,530,587,86906.68,193286.92,1311
Northeast Michigan,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,210,339,43031.49,56278.82,1311
Northeast Michigan,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0,1311
Northeast Michigan,Health Services,,H0034,,15 Minutes,0,0,0,3770.35,1311
Northeast Michigan,Home Based Services,,H0036,,15 Minutes,2,133,8553.09,46294.05,1311
Northeast Michigan,Home Based Services,,H0036,ST,15 Minutes,0,0,0,0,1311
Northeast Michigan,Peer Directed and Operated Support Services,,H0038,,15 minutes,42,4271,117605.86,117605.86,1311
Northeast Michigan,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0,1311
Northeast Michigan,Peer Directed and Operated Support Services,,NA,,,0,0,0,0,1311
Northeast Michigan,Assertive Community Treatment (ACT),,H0039,,15 Minutes,47,7953,581001.53,581001.53,1311
Northeast Michigan,Community Living Supports in Independent living/own home,,H0043,,Per diem,0,0,0,0,1311
Northeast Michigan,Respite,,H0045,,Day,0,0,0,0,1311
Northeast Michigan,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,2333.32,1311
Northeast Michigan,Substance Abuse: Laboratory,,H0048,,Encounter,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0,1311
Northeast Michigan,Behavior Treatment Plan Review,,H2000,,Encounter,0,0,0,0,1311
Northeast Michigan,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,1,4,925.13,132455.16,1311
Northeast Michigan,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0,1311
Northeast Michigan,Crisis Intervention,,H2011,,15 Minutes,380,1581,115262.14,153384.87,1311
Northeast Michigan,"Substance Abuse: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0,1311
Northeast Michigan,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,10,1074,10693.2,15189.45,1311
Northeast Michigan,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,0,0,0,0,1311
Northeast Michigan,Community Living Supports (15 Minutes),,H2015,,15 Minutes,210,33923,579157.58,5691853.03,1311
Northeast Michigan,Community Living Supports (Daily),,H2016,,Per Diem,21,7178,1012156.51,4869163.79,1311
Northeast Michigan,Behavior Services,,H2019,,15 Minutes,0,0,0,0,1311
Northeast Michigan,Behavior Services,,H2019,TT,15 Minutes,0,0,0,0,1311
Northeast Michigan,Wraparound,,H2021,,15 Minutes,2,86,8442.82,165224.01,1311
Northeast Michigan,Wraparound (SED Waiver),,H2022,,Day,0,0,0,0,1311
Northeast Michigan,Wraparound (SED Waiver),,H2022,TT,Day,0,0,0,0,1311
Northeast Michigan,Supported Employment Services,,H2023,,15 minutes,100,5545,238582.12,1770197.08,1311
Northeast Michigan,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0,1311
Northeast Michigan,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0,1311
Northeast Michigan,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,71,57725,349843.83,368216.75,1311
Northeast Michigan,Home Based Services,,H2033,,15 Minutes,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0,1311
Northeast Michigan,Transportation,,S0209,,Per Mile,0,0,0,0,1311
Northeast Michigan,Transportation,,S0215,,Per Mile,0,0,0,0,1311
Northeast Michigan,Substance Abuse Services: Transportation,,S0215,HF,Per Mile,0,0,0,0,1311
Northeast Michigan,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0,1311
Northeast Michigan,Family Training,,S5111,,Encounter,1,1,141.46,27233.68,1311
Northeast Michigan,Family Training,,S5111,HA,Encounter,0,0,0,0,1311
Northeast Michigan,Family Training,,S5111,HM,Encounter,0,0,0,0,1311
Northeast Michigan,BHT/ABA Family Training,,S5111,U5,Encounter,0,0,0,9475.47,1311
Northeast Michigan,Foster Care,,S5140,,Day,0,0,0,0,1311
Northeast Michigan,Foster Care,,S5145,,Day,0,0,0,0,1311
Northeast Michigan,Respite,,S5150,,15 Minutes,0,0,0,0,1311
Northeast Michigan,Respite,,S5151,,Per Diem,0,0,0,0,1311
Northeast Michigan,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0,837.83,1311
Northeast Michigan,Personal Emergency Response System (PERS),,S5161,,Month,1,12,14219.7,547090.45,1311
Northeast Michigan,Environmental Modification ,,S5165,,Service,0,0,0,26019.33,1311
Northeast Michigan,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0,286.95,1311
Northeast Michigan,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0,0,1311
Northeast Michigan,Health Services,,S9445,,Encounter,2,3,358.69,358.69,1311
Northeast Michigan,Health Services,,S9446,,Encounter,0,0,0,1180.73,1311
Northeast Michigan,Health Services,,S9470,,Encounter,0,0,0,0,1311
Northeast Michigan,Prevention Services - Direct Model,,S9482,,15 minutes,15,796,51189.9,61350.71,1311
Northeast Michigan,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0,0,1311
Northeast Michigan,Residential Room and Board,,S9976,,Day,0,0,0,0,1311
Northeast Michigan,Substance Abuse Services: Residential Room and Board,,S9976,HF,Day,0,0,0,0,1311
Northeast Michigan,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0,0,1311
Northeast Michigan,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0,0,1311
Northeast Michigan,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0,0,1311
Northeast Michigan,Assessment,,T1001,,Encounter,5,5,1385.82,33631.93,1311
Northeast Michigan,Health Services,,T1002,,Up to 15 min,2,9,1028.4,183020.4,1311
Northeast Michigan,Respite Care,,T1005,,15 Minutes,1,124,73.32,168915.37,1311
Northeast Michigan,Respite Care,,T1005,TD,15 Minutes,0,0,0,0,1311
Northeast Michigan,Respite Care,,T1005,TE,15 Minutes,0,0,0,0,1311
Northeast Michigan,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Treatment Planning,,T1007,HF,Encounter,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0,0,0,0,1311
Northeast Michigan,Substance Abuse: Recovery Support Services,,T1012,,Encounter,0,0,0,0,1311
Northeast Michigan,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0,0,1311
Northeast Michigan,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,194,7064,363771.79,1582410.92,1311
Northeast Michigan,Targeted Case Management ,,T1017,,15 minutes,252,12697,643637.17,1034622.65,1311
Northeast Michigan,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,30,827,126680.96,132549.25,1311
Northeast Michigan,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,21,7177,59567.24,2729399.41,1311
Northeast Michigan,Assessments,,T1023,,Encounter,177,236,78264.46,86259.96,1311
Northeast Michigan,Prevention Services - Direct Model ,,T1027,,15 Minutes,0,0,0,0,1311
Northeast Michigan,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,7,48,1223.42,44626.04,1311
Northeast Michigan,Transportation,,T2001,,Encounter,0,0,0,0,1311
Northeast Michigan,Substance Abuse Services: Transportation,,T2001,HF,Encounter,0,0,0,0,1311
Northeast Michigan,Transportation,,T2002,,Per Diem,0,0,0,0,1311
Northeast Michigan,Substance Abuse Services: Transportation,,T2002,HF,Per Diem,0,0,0,0,1311
Northeast Michigan,Transportation,,T2003,,Encounter / Trip,1,1,467.15,467.15,1311
Northeast Michigan,Substance Abuse Services: Transportation,,T2003,HF,Encounter / Trip,0,0,0,0,1311
Northeast Michigan,Transportation,,T2004,,Encounter,0,0,0,0,1311
Northeast Michigan,Substance Abuse Services: Transportation,,T2004,HF,Encounter,0,0,0,0,1311
Northeast Michigan,Transportation,,T2005,,Encounter,0,0,0,0,1311
Northeast Michigan,Substance Abuse Services: Transportation,,T2005,HF,Encounter,0,0,0,0,1311
Northeast Michigan,Prevention Services - Direct Model ,,T2024,,,0,0,0,0,1311
Northeast Michigan,Fiscal Intermediary Services,,T2025,,Month,8,57,9345.74,156860.8,1311
Northeast Michigan,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0,0,1311
Northeast Michigan,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0,0,1311
Northeast Michigan,Respite Care,,T2036,,Per session. One night = one session,0,0,0,0,1311
Northeast Michigan,Respite Care,,T2037,,Per session. One day/partial day = one session,0,0,0,373.93,1311
Northeast Michigan,Housing Assistance,,T2038,,Service,0,0,0,0,1311
Northeast Michigan,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0,0,1311
Northeast Michigan,Goods and Services ,,T5999,HK,Per Item,0,0,0,0,1311
Northeast Michigan,Wraparound Services,,T5999,,Per Item,0,0,0,0,1311
Northeast Michigan,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0,0,1311
Northeast Michigan,Other,,,,,2,0,241.23,241.23,1311
Northeast Michigan,Aggregate for 'J' Codes,,ALL,,,21,0,18808.59,18808.59,1311
Northern Lakes,Local Psychiatric Hospital/IMD PT68 Bundled per diem,100,,PT68,Day,17,169,133722,524147,3440
Northern Lakes,Local Psychiatric Hospital/IMD PT68 Bundled per diem,100,,PT68,Day,9,82,21322,43563,3440
Northern Lakes,Local Psychiatric Hospital/IMD PT68 Physician costs excluded,"0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,3440
Northern Lakes,Local Psychiatric Hospital/IMD PT68 Physician costs excluded,"0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,3440
Northern Lakes,Local Psychiatric Hospital - Acute Community PT73 Bundled per diem,100,,PT73,Day,246,1924,1677018,1818775,3440
Northern Lakes,Local Psychiatric Hospital - Acute Community PT73 Bundled per diem,100,,PT73,Day,71,733,119104,131581,3440
Northern Lakes,Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded,"0114, 0124, 0134, 0154",,PT73,Day,21,139,90956,98355,3440
Northern Lakes,Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded,"0114, 0124, 0134, 0154",,PT73,Day,1,10,197,197,3440
Northern Lakes,Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,3756,13086,3440
Northern Lakes,Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,43194,47106,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0,0,3440
Northern Lakes,ECT Anesthesia,370,,,,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0,0,3440
Northern Lakes,ECT Recovery Room,710,,,,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0,0,3440
Northern Lakes,Crisis Observation Care,762,,,Hour,0,0,0,0,3440
Northern Lakes,Additional Codes-ECT Facility Charge,901,,,Encounter,1,5,4133,4133,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0,3440
Northern Lakes,Outpatient Partial Hospitalization,912,,,Day,16,114,26252,26252,3440
Northern Lakes,Outpatient Partial Hospitalization,913,,,Day,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0,3440
Northern Lakes,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0,3440
Northern Lakes,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0,3440
Northern Lakes,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0,3440
Northern Lakes,Drug Screen for Methadone Clients Only,,80300,,per date of service,0,0,0,0,3440
Northern Lakes,Drug Screen for Methadone Clients Only,,80301,,per date of service,0,0,0,0,3440
Northern Lakes,Drug Screen for Methadone Clients Only,,80302,,each procedure,0,0,0,0,3440
Northern Lakes,Drug Screen for Methadone Clients Only,,80303,,per date of service ,0,0,0,0,3440
Northern Lakes,Drug Screen for Methadone Clients Only,,80304,,each procedure,0,0,0,0,3440
Northern Lakes,Interactive Complexity - Add On Code,,90785,,,1,1,160,1441,3440
Northern Lakes,Interactive Complexity - Add On Code - SUD,,90785,HF,,0,0,0,0,3440
Northern Lakes,Assessment,,"90791
",,Encounter,0,0,0,2609,3440
Northern Lakes,Assessment,,90792,,Encounter,285,293,206047,283784,3440
Northern Lakes,Mental Health: Outpatient Care,,90832,,30 Minutes,213,410,40399,43606,3440
Northern Lakes,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,695,3440
Northern Lakes,Assessment,,90833,,30 Minutes,0,0,0,0,3440
Northern Lakes,Mental Health: Outpatient Care,,90834,,45 Minutes,561,2899,430933,531901,3440
Northern Lakes,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0,3440
Northern Lakes,Assessment,,90836,,45 Minutes,0,0,0,0,3440
Northern Lakes,Mental Health: Outpatient Care,,90837,,60 Minutes,112,276,66326,119877,3440
Northern Lakes,Substance abuse: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0,3440
Northern Lakes,Assessment,,90838,,60 Minutes,0,0,0,0,3440
Northern Lakes,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0,0,3440
Northern Lakes,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,0,3440
Northern Lakes,Therapy-Family Therapy,,90846,,Encounter,0,0,0,6388,3440
Northern Lakes,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0,3440
Northern Lakes,Therapy-Family Therapy,,90847,,Encounter,8,51,5017,391822,3440
Northern Lakes,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0,0,3440
Northern Lakes,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,3440
Northern Lakes,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,3440
Northern Lakes,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0,3440
Northern Lakes,Therapy-Group Therapy,,90853,,Encounter,186,1779,134319,139992,3440
Northern Lakes,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0,3440
Northern Lakes,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0,3440
Northern Lakes,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,0,3440
Northern Lakes,Assessments-Other,,90887,,Encounter,6,8,1772,6370,3440
Northern Lakes,Speech & Language Therapy ,,92507,,Encounter,0,0,0,34417,3440
Northern Lakes,Speech & Language Therapy ,,92508,,Encounter,0,0,0,0,3440
Northern Lakes,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0,3440
Northern Lakes,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0,3440
Northern Lakes,Speech & Language Therapy ,,92523,,Encounter,0,0,0,604,3440
Northern Lakes,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0,3440
Northern Lakes,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,3440
Northern Lakes,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0,3440
Northern Lakes,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0,3440
Northern Lakes,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0,3440
Northern Lakes,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,3440
Northern Lakes,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,13,43,7086,36597,3440
Northern Lakes,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0,0,3440
Northern Lakes,Psychological Testing by Comp ,,96103,,Per Hour,0,0,0,0,3440
Northern Lakes,Assessments-Other,,96105,,Encounter,0,0,0,0,3440
Northern Lakes,Assessments-Other,,96110,,Encounter,0,0,0,728,3440
Northern Lakes,Assessments-Other,,96111,,Encounter,0,0,0,0,3440
Northern Lakes,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0,3440
Northern Lakes,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0,3440
Northern Lakes,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0,3440
Northern Lakes,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0,3440
Northern Lakes,Assessments-Other,,96127,,,0,0,0,0,3440
Northern Lakes,Medication Administration,,96372,,Encounter,183,1701,169484,178327,3440
Northern Lakes,Physical Therapy,,97001,,Encounter,0,0,0,6871,3440
Northern Lakes,Physical Therapy,,97002,,Encounter,0,0,0,183,3440
Northern Lakes,Occupational Therapy,,97003,,Encounter,0,0,0,11121,3440
Northern Lakes,Occupational Therapy,,97004,,Encounter,0,0,0,274,3440
Northern Lakes,Occupational or Physical Therapy,,97110,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97530,,15 Minutes,0,0,0,31570,3440
Northern Lakes,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97542,,15 Minutes,1,12,616,3799,3440
Northern Lakes,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,3443,3440
Northern Lakes,Occupational Therapy,,97755,,15 Minutes,0,0,0,0,3440
Northern Lakes,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,346,3440
Northern Lakes,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0,0,3440
Northern Lakes,Assessment or Health Services,,97802,,15 Minutes,0,0,0,185,3440
Northern Lakes,Assessment or Health Services,,97803,,15 Minutes,8,32,2191,2191,3440
Northern Lakes,Health Services,,97804,,30 Minutes,0,0,0,0,3440
Northern Lakes,Substance Abuse: Acupuncture,,97810,,Encounter,0,0,0,0,3440
Northern Lakes,Substance Abuse: Acupuncture,,97811,,Encounter,0,0,0,0,3440
Northern Lakes,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0,3440
Northern Lakes,Substance Abuse: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0,3440
Northern Lakes,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0,3440
Northern Lakes,Substance Abuse: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0,3440
Northern Lakes,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0,3440
Northern Lakes,Substance Abuse: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0,3440
Northern Lakes,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0,3440
Northern Lakes,Substance Abuse: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0,3440
Northern Lakes,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0,3440
Northern Lakes,Substance Abuse: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0,3440
Northern Lakes,Established Patient Evaluation and Management,,99211,,Encounter,55,67,12102,23538,3440
Northern Lakes,Substance Abuse: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0,3440
Northern Lakes,Established Patient Evaluation and Management,,99212,,Encounter,8,8,1570,3146,3440
Northern Lakes,Substance Abuse: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0,3440
Northern Lakes,Established Patient Evaluation and Management,,99213,,Encounter,576,953,201441,247876,3440
Northern Lakes,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0,3440
Northern Lakes,Established Patient Evaluation and Management,,99214,,Encounter,1149,3136,709707,936748,3440
Northern Lakes,Substance Abuse: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0,3440
Northern Lakes,Established Patient Evaluation and Management,,99215,,Encounter,27,28,7047,10651,3440
Northern Lakes,Substance Abuse: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0,3440
Northern Lakes,Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0,0,3440
Northern Lakes,Additional Codes-Physician Services,,99222,,50 Minutes,18,18,2351,2542,3440
Northern Lakes,Additional Codes-Physician Services,,99223,,70 Minutes,0,0,0,0,3440
Northern Lakes,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0,3440
Northern Lakes,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0,3440
Northern Lakes,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0,3440
Northern Lakes,Additional Codes-Physician Services,,99231,,15 Minutes,22,96,5761,6140,3440
Northern Lakes,Additional Codes-Physician Services,,99232,,25 minutes,34,43,2950,3047,3440
Northern Lakes,Additional Codes-Physician Services,,99233,,35 Minutes,0,0,0,286,3440
Northern Lakes,Physician Consultations,,99241,,15 Minutes,0,0,0,0,3440
Northern Lakes,Substance Abuse: New or Established Patient Evaluation and Management,,99241,HF,15 Minutes,0,0,0,0,3440
Northern Lakes,Physician Consultations,,99242,,30 Minutes,0,0,0,0,3440
Northern Lakes,Substance Abuse: New or Established Patient Evaluation and Management,,99242,HF,30 Minutes,0,0,0,0,3440
Northern Lakes,Physician Consultations,,99243,,40 Minutes,0,0,0,0,3440
Northern Lakes,Substance Abuse: New or Established Patient Evaluation and Management,,99243,HF,40 Minutes,0,0,0,0,3440
Northern Lakes,Physician Consultations,,99244,,60 Minutes,0,0,0,0,3440
Northern Lakes,Substance Abuse: New or Established Patient Evaluation and Management,,99244,HF,60 Minutes,0,0,0,0,3440
Northern Lakes,Physician Consultations,,99245,,80 Minutes,0,0,0,0,3440
Northern Lakes,Substance Abuse: New or Established Patient Evaluation and Management,,99245,HF,80 Minutes,0,0,0,0,3440
Northern Lakes,Physician Consultations,,99251,,20 Minutes,2,2,312,312,3440
Northern Lakes,Physician Consultations,,99252,,40 Minutes,0,0,0,0,3440
Northern Lakes,Physician Consultations,,99253,,55 Minutes,0,0,0,0,3440
Northern Lakes,Physician Consultations,,99254,,80 Minutes,0,0,0,0,3440
Northern Lakes,Physician Consultations,,99255,,110 Minutes,0,0,0,0,3440
Northern Lakes,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0,3440
Northern Lakes,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0,3440
Northern Lakes,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0,3440
Northern Lakes,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0,3440
Northern Lakes,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0,3440
Northern Lakes,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0,3440
Northern Lakes,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0,3440
Northern Lakes,Assessment,,99324,,Encounter,0,0,0,0,3440
Northern Lakes,Assessment,,99325,,Encounter,0,0,0,0,3440
Northern Lakes,Assessment,,99326,,Encounter,0,0,0,0,3440
Northern Lakes,Assessment,,99327,,Encounter,0,0,0,0,3440
